Country,Factors,Value
Switzerland,Economy (GDP per Capita),1.39651
Switzerland,Family,1.34951
Switzerland,Health (Life Expectancy),0.94143
Switzerland,Freedom,0.66557
Switzerland,Trust (Government Corruption),0.41978
Switzerland,Generosity,0.29678
Iceland,Economy (GDP per Capita),1.30232
Iceland,Family,1.40223
Iceland,Health (Life Expectancy),0.94784
Iceland,Freedom,0.62877
Iceland,Trust (Government Corruption),0.14145
Iceland,Generosity,0.4363
Denmark,Economy (GDP per Capita),1.32548
Denmark,Family,1.36058
Denmark,Health (Life Expectancy),0.87464
Denmark,Freedom,0.64938
Denmark,Trust (Government Corruption),0.48357
Denmark,Generosity,0.34139
Norway,Economy (GDP per Capita),1.459
Norway,Family,1.33095
Norway,Health (Life Expectancy),0.88521
Norway,Freedom,0.66973
Norway,Trust (Government Corruption),0.36503
Norway,Generosity,0.34699
Canada,Economy (GDP per Capita),1.32629
Canada,Family,1.32261
Canada,Health (Life Expectancy),0.90563
Canada,Freedom,0.63297
Canada,Trust (Government Corruption),0.32957
Canada,Generosity,0.45811
Finland,Economy (GDP per Capita),1.29025
Finland,Family,1.31826
Finland,Health (Life Expectancy),0.88911
Finland,Freedom,0.64169
Finland,Trust (Government Corruption),0.41372
Finland,Generosity,0.23351
Netherlands,Economy (GDP per Capita),1.32944
Netherlands,Family,1.28017
Netherlands,Health (Life Expectancy),0.89284
Netherlands,Freedom,0.61576
Netherlands,Trust (Government Corruption),0.31814
Netherlands,Generosity,0.4761
Sweden,Economy (GDP per Capita),1.33171
Sweden,Family,1.28907
Sweden,Health (Life Expectancy),0.91087
Sweden,Freedom,0.6598
Sweden,Trust (Government Corruption),0.43844
Sweden,Generosity,0.36262
New Zealand,Economy (GDP per Capita),1.25018
New Zealand,Family,1.31967
New Zealand,Health (Life Expectancy),0.90837
New Zealand,Freedom,0.63938
New Zealand,Trust (Government Corruption),0.42922
New Zealand,Generosity,0.47501
Australia,Economy (GDP per Capita),1.33358
Australia,Family,1.30923
Australia,Health (Life Expectancy),0.93156
Australia,Freedom,0.65124
Australia,Trust (Government Corruption),0.35637
Australia,Generosity,0.43562
Israel,Economy (GDP per Capita),1.22857
Israel,Family,1.22393
Israel,Health (Life Expectancy),0.91387
Israel,Freedom,0.41319
Israel,Trust (Government Corruption),0.07785
Israel,Generosity,0.33172
Costa Rica,Economy (GDP per Capita),0.95578
Costa Rica,Family,1.23788
Costa Rica,Health (Life Expectancy),0.86027
Costa Rica,Freedom,0.63376
Costa Rica,Trust (Government Corruption),0.10583
Costa Rica,Generosity,0.25497
Austria,Economy (GDP per Capita),1.33723
Austria,Family,1.29704
Austria,Health (Life Expectancy),0.89042
Austria,Freedom,0.62433
Austria,Trust (Government Corruption),0.18676
Austria,Generosity,0.33088
Mexico,Economy (GDP per Capita),1.02054
Mexico,Family,0.91451
Mexico,Health (Life Expectancy),0.81444
Mexico,Freedom,0.48181
Mexico,Trust (Government Corruption),0.21312
Mexico,Generosity,0.14074
United States,Economy (GDP per Capita),1.39451
United States,Family,1.24711
United States,Health (Life Expectancy),0.86179
United States,Freedom,0.54604
United States,Trust (Government Corruption),0.1589
United States,Generosity,0.40105
Brazil,Economy (GDP per Capita),0.98124
Brazil,Family,1.23287
Brazil,Health (Life Expectancy),0.69702
Brazil,Freedom,0.49049
Brazil,Trust (Government Corruption),0.17521
Brazil,Generosity,0.14574
Luxembourg,Economy (GDP per Capita),1.56391
Luxembourg,Family,1.21963
Luxembourg,Health (Life Expectancy),0.91894
Luxembourg,Freedom,0.61583
Luxembourg,Trust (Government Corruption),0.37798
Luxembourg,Generosity,0.28034
Ireland,Economy (GDP per Capita),1.33596
Ireland,Family,1.36948
Ireland,Health (Life Expectancy),0.89533
Ireland,Freedom,0.61777
Ireland,Trust (Government Corruption),0.28703
Ireland,Generosity,0.45901
Belgium,Economy (GDP per Capita),1.30782
Belgium,Family,1.28566
Belgium,Health (Life Expectancy),0.89667
Belgium,Freedom,0.5845
Belgium,Trust (Government Corruption),0.2254
Belgium,Generosity,0.2225
United Arab Emirates,Economy (GDP per Capita),1.42727
United Arab Emirates,Family,1.12575
United Arab Emirates,Health (Life Expectancy),0.80925
United Arab Emirates,Freedom,0.64157
United Arab Emirates,Trust (Government Corruption),0.38583
United Arab Emirates,Generosity,0.26428
United Kingdom,Economy (GDP per Capita),1.26637
United Kingdom,Family,1.28548
United Kingdom,Health (Life Expectancy),0.90943
United Kingdom,Freedom,0.59625
United Kingdom,Trust (Government Corruption),0.32067
United Kingdom,Generosity,0.51912
Oman,Economy (GDP per Capita),1.36011
Oman,Family,1.08182
Oman,Health (Life Expectancy),0.76276
Oman,Freedom,0.63274
Oman,Trust (Government Corruption),0.32524
Oman,Generosity,0.21542
Venezuela,Economy (GDP per Capita),1.04424
Venezuela,Family,1.25596
Venezuela,Health (Life Expectancy),0.72052
Venezuela,Freedom,0.42908
Venezuela,Trust (Government Corruption),0.11069
Venezuela,Generosity,0.05841
Singapore,Economy (GDP per Capita),1.52186
Singapore,Family,1.02
Singapore,Health (Life Expectancy),1.02525
Singapore,Freedom,0.54252
Singapore,Trust (Government Corruption),0.4921
Singapore,Generosity,0.31105
Panama,Economy (GDP per Capita),1.06353
Panama,Family,1.1985
Panama,Health (Life Expectancy),0.79661
Panama,Freedom,0.5421
Panama,Trust (Government Corruption),0.0927
Panama,Generosity,0.24434
Germany,Economy (GDP per Capita),1.32792
Germany,Family,1.29937
Germany,Health (Life Expectancy),0.89186
Germany,Freedom,0.61477
Germany,Trust (Government Corruption),0.21843
Germany,Generosity,0.28214
Chile,Economy (GDP per Capita),1.10715
Chile,Family,1.12447
Chile,Health (Life Expectancy),0.85857
